Name,Age_Group,Gender,Geography,Education,Occupation,Caste,Voted_Party
Pooja Manjhi,30-39,Female,Rural,Not Gone to School,Pvt. Service,EBC,JSP
Mohammad Yadav,40-49,Male,Rural,Graduate,Student,EBC,MGB
Vikash Mishra,20-29,Male,Urban,Graduate,Housewife,OBC,NDA
Mukesh Ansari,30-39,Male,Urban,Upto 9th,Farmer,OBC,NDA
Mohammad Choudhary,40-49,Male,Rural,Not Gone to School,Housewife,ST,NDA
Aisha Singh,70 & Above,Female,Rural,Upto 9th,Farmer,SC,NDA
Anita Ali,30-39,Female,Rural,Upto 9th,Others,SC,MGB
Kavita Khatoon,20-29,Female,Rural,Graduate,Farmer,OBC,MGB
Pooja Manjhi,20-29,Female,Rural,Graduate,Farmer,Yadav,MGB
Vikash Khatoon,30-39,Male,Rural,Professional Education,Farmer,Yadav,MGB
Neha Kumar,50-59,Female,Rural,Not Gone to School,Farmer,EBC,NDA
Fatima Khatoon,50-59,Female,Urban,Upto 9th,Labour,OBC,Others
Anita Ali,40-49,Female,Rural,Graduate,Others,Muslim,MGB
Sunita Paswan,20-29,Female,Rural,12th Pass,Labour,SC,NDA
Rekha Sharma,20-29,Female,Rural,10th Pass,Skilled Professional,EBC,NDA
Vikash Manjhi,30-39,Male,Rural,Not Gone to School,Farmer,OBC,NDA
Fatima Mishra,30-39,Female,Rural,Not Gone to School,Farmer,OBC,NDA
Mukesh Manjhi,30-39,Male,Urban,Upto 9th,Labour,General,NDA
Priyanka Kumar,30-39,Female,Rural,10th Pass,Housewife,SC,MGB
Rahul Ali,20-29,Male,Urban,Upto 9th,Unemployed,OBC,NDA
Pooja Ansari,20-29,Female,Urban,Not Gone to School,Others,OBC,NDA
Manju Yadav,20-29,Female,Rural,10th Pass,Labour,EBC,JSP
Sunita Khatoon,40-49,Female,Rural,10th Pass,Skilled Professional,SC,Others
Sanjay Ali,50-59,Male,Rural,10th Pass,Farmer,Muslim,MGB
Anita Yadav,40-49,Female,Rural,Not Gone to School,Others,OBC,MGB
Kavita Khatoon,40-49,Female,Rural,10th Pass,Pvt. Service,EBC,Others
Anita Sharma,30-39,Female,Urban,Not Gone to School,Farmer,SC,MGB
Kavita Ansari,40-49,Female,Rural,Upto 9th,Labour,EBC,NDA
Mohammad Ali,40-49,Male,Urban,Not Gone to School,Labour,Muslim,MGB
Aisha Mishra,40-49,Female,Rural,10th Pass,Housewife,SC,NDA
Rekha Manjhi,30-39,Female,Urban,Graduate,Self Occupation & Small Shop,OBC,NDA
Anita Yadav,30-39,Female,Rural,Not Gone to School,Labour,General,MGB
Vikash Kumar,30-39,Male,Rural,Post-Graduate,Housewife,OBC,NDA
Manju Kumar,30-39,Female,Rural,Post-Graduate,Labour,Muslim,NDA
Neha Khatoon,60-69,Female,Rural,10th Pass,Unemployed,OBC,NDA
Aisha Khatoon,20-29,Female,Rural,12th Pass,Housewife,Yadav,MGB
Manju Yadav,30-39,Female,Urban,Not Gone to School,Student,General,Others
Sunita Yadav,60-69,Female,Urban,12th Pass,Student,General,Others
Anita Kumar,40-49,Female,Rural,10th Pass,Housewife,EBC,NDA
Rahul Mishra,30-39,Male,Rural,10th Pass,Housewife,General,NDA
Rajeev Singh,30-39,Male,Rural,10th Pass,Skilled Professional,General,NDA
Aisha Choudhary,20-29,Female,Rural,Professional Education,Farmer,General,NDA
Priyanka Kumar,60-69,Female,Rural,Graduate,Self Occupation & Small Shop,OBC,NDA
Mukesh Manjhi,30-39,Male,Rural,12th Pass,Housewife,Muslim,MGB
Priyanka Singh,30-39,Female,Rural,Upto 9th,Self Occupation & Small Shop,Yadav,MGB
Mohammad Sharma,60-69,Male,Rural,12th Pass,Labour,EBC,Others
Deepak Manjhi,20-29,Male,Rural,Graduate,Housewife,EBC,MGB
Sunita Choudhary,20-29,Female,Rural,Graduate,Farmer,General,NDA
Sanjay Choudhary,30-39,Male,Rural,Graduate,Student,Muslim,Others
Ranjeet Khatoon,70 & Above,Male,Rural,10th Pass,Housewife,General,NDA
Manju Mishra,30-39,Female,Rural,12th Pass,Housewife,Muslim,MGB
Ranjeet Kumar,20-29,Male,Rural,Not Gone to School,Housewife,OBC,MGB
Abdul Manjhi,70 & Above,Male,Rural,12th Pass,Farmer,Muslim,MGB
Manju Ali,18-19,Female,Rural,Not Gone to School,Farmer,SC,MGB
Mohammad Mishra,50-59,Male,Rural,Graduate,Housewife,Muslim,Others
Ranjeet Kumar,60-69,Male,Rural,Not Gone to School,Farmer,Yadav,MGB
Rahul Manjhi,30-39,Male,Rural,Graduate,Labour,EBC,NDA
Amit Khatoon,50-59,Male,Rural,Not Gone to School,Farmer,General,NDA
Kavita Singh,30-39,Female,Rural,Not Gone to School,Others,Yadav,MGB
Aisha Khatoon,30-39,Female,Rural,Not Gone to School,Labour,Muslim,MGB
Mohammad Singh,20-29,Male,Rural,Graduate,Housewife,Muslim,MGB
Deepak Choudhary,60-69,Male,Rural,10th Pass,Student,General,Others
Rajeev Khatoon,30-39,Male,Rural,12th Pass,Farmer,Yadav,MGB
Neha Singh,20-29,Female,Rural,Upto 9th,Pvt. Service,EBC,NDA
Kavita Mishra,40-49,Female,Rural,Upto 9th,Housewife,General,NDA
Mukesh Sharma,40-49,Male,Rural,Not Gone to School,Unemployed,Muslim,MGB
Anita Manjhi,50-59,Female,Rural,Graduate,Farmer,Muslim,MGB
Deepak Kumar,50-59,Male,Rural,10th Pass,Housewife,SC,NDA
Sanjay Khatoon,30-39,Male,Rural,Not Gone to School,Skilled Professional,Muslim,MGB
Rahul Ali,18-19,Male,Rural,Not Gone to School,Pvt. Service,OBC,NDA
Pooja Yadav,30-39,Female,Rural,Professional Education,Pvt. Service,Muslim,MGB
Priyanka Sharma,60-69,Female,Rural,Not Gone to School,Farmer,SC,MGB
Mohammad Mishra,30-39,Male,Rural,Not Gone to School,Labour,EBC,NDA
Neha Mishra,30-39,Female,Rural,10th Pass,Student,SC,NDA
Manju Paswan,18-19,Female,Rural,Upto 9th,Farmer,OBC,NDA
Mukesh Choudhary,30-39,Male,Rural,Upto 9th,Labour,EBC,NDA
Aisha Ansari,70 & Above,Female,Rural,Not Gone to School,Housewife,EBC,NDA
Priyanka Manjhi,40-49,Female,Rural,Not Gone to School,Pvt. Service,General,MGB
Manju Paswan,40-49,Female,Urban,Not Gone to School,Farmer,SC,MGB
Mohammad Sharma,40-49,Male,Rural,10th Pass,Skilled Professional,ST,NDA
Kavita Paswan,20-29,Female,Rural,Graduate,Others,Muslim,MGB
Mukesh Singh,20-29,Male,Rural,Not Gone to School,Farmer,Yadav,MGB
Deepak Sharma,70 & Above,Male,Rural,Professional Education,Housewife,EBC,Others
Neha Ali,20-29,Female,Rural,10th Pass,Housewife,EBC,NDA
Abdul Sharma,18-19,Male,Rural,12th Pass,Housewife,Yadav,MGB
Aisha Singh,70 & Above,Female,Rural,Not Gone to School,Housewife,EBC,MGB
Neha Sharma,20-29,Female,Urban,Upto 9th,Others,Yadav,NDA
Abdul Yadav,30-39,Male,Rural,12th Pass,Self Occupation & Small Shop,Muslim,MGB
Vikash Kumar,30-39,Male,Rural,Upto 9th,Labour,EBC,NDA
Amit Kumar,20-29,Male,Urban,Upto 9th,Farmer,SC,MGB
Rahul Kumar,40-49,Male,Rural,Graduate,Farmer,General,NDA
Pooja Ansari,40-49,Female,Rural,Not Gone to School,Labour,Muslim,NDA
Kavita Paswan,50-59,Female,Rural,Graduate,Farmer,Yadav,MGB
Abdul Manjhi,40-49,Male,Rural,10th Pass,Farmer,SC,Others
Mukesh Mishra,60-69,Male,Rural,Upto 9th,Skilled Professional,SC,NDA
Amit Manjhi,30-39,Male,Rural,12th Pass,Housewife,General,NDA
Anita Ali,30-39,Female,Rural,Graduate,Others,Muslim,MGB
Ranjeet Khatoon,40-49,Male,Rural,Graduate,Pvt. Service,Muslim,MGB
Deepak Singh,60-69,Male,Rural,Not Gone to School,Self Occupation & Small Shop,Muslim,MGB
Abdul Choudhary,30-39,Male,Rural,Not Gone to School,Self Occupation & Small Shop,SC,Others
Abdul Kumar,50-59,Male,Rural,12th Pass,Farmer,EBC,NDA
Priyanka Manjhi,50-59,Female,Rural,Not Gone to School,Labour,Yadav,MGB
Anita Choudhary,30-39,Female,Rural,10th Pass,Labour,Yadav,MGB
Mukesh Singh,20-29,Male,Rural,Not Gone to School,Farmer,Muslim,Others
Abdul Khatoon,50-59,Male,Rural,Graduate,Labour,OBC,NDA
Amit Mishra,60-69,Male,Urban,Upto 9th,Housewife,General,NDA
Ranjeet Choudhary,50-59,Male,Rural,Upto 9th,Housewife,Yadav,MGB
Pooja Khatoon,40-49,Female,Rural,Graduate,Labour,General,NDA
Neha Sharma,40-49,Female,Rural,10th Pass,Farmer,Yadav,NDA
Mukesh Yadav,50-59,Male,Rural,Graduate,Student,SC,NDA
Manju Mishra,50-59,Female,Rural,Not Gone to School,Farmer,General,Others
Rajeev Yadav,50-59,Male,Rural,Not Gone to School,Farmer,ST,NDA
Fatima Kumar,50-59,Female,Rural,Upto 9th,Labour,OBC,NDA
Rahul Manjhi,40-49,Male,Rural,Not Gone to School,Self Occupation & Small Shop,OBC,Others
Rahul Yadav,50-59,Male,Rural,10th Pass,Student,Muslim,MGB
Mohammad Khatoon,30-39,Male,Rural,12th Pass,Self Occupation & Small Shop,Muslim,JSP
Pooja Ansari,40-49,Female,Rural,Upto 9th,Labour,General,NDA
Rekha Kumar,30-39,Female,Rural,Upto 9th,Pvt. Service,General,NDA
Ranjeet Singh,30-39,Male,Rural,12th Pass,Unemployed,OBC,MGB
Manju Yadav,50-59,Female,Rural,12th Pass,Labour,OBC,NDA
Sanjay Manjhi,40-49,Male,Rural,Not Gone to School,Skilled Professional,OBC,NDA
Mohammad Khatoon,60-69,Male,Rural,Not Gone to School,Labour,EBC,MGB
Manju Ali,60-69,Female,Rural,Upto 9th,Labour,SC,NDA
Aisha Kumar,50-59,Female,Rural,Upto 9th,Housewife,EBC,NDA
Neha Manjhi,50-59,Female,Rural,Not Gone to School,Unemployed,General,JSP
Aisha Choudhary,40-49,Female,Rural,Not Gone to School,Housewife,Yadav,MGB
Sunita Paswan,20-29,Female,Rural,10th Pass,Labour,Muslim,MGB
Rahul Ansari,30-39,Male,Urban,Not Gone to School,Housewife,Yadav,NDA
Rajeev Singh,40-49,Male,Rural,12th Pass,Self Occupation & Small Shop,General,Others
Mohammad Ansari,50-59,Male,Urban,Upto 9th,Skilled Professional,SC,NDA
Fatima Manjhi,20-29,Female,Rural,12th Pass,Housewife,Yadav,NDA
Kavita Kumar,40-49,Female,Rural,10th Pass,Self Occupation & Small Shop,Muslim,MGB
Anita Singh,30-39,Female,Urban,10th Pass,Farmer,EBC,NDA
Fatima Sharma,70 & Above,Female,Urban,12th Pass,Farmer,Yadav,MGB
Priyanka Choudhary,20-29,Female,Rural,Not Gone to School,Unemployed,EBC,NDA
Abdul Mishra,70 & Above,Male,Urban,Upto 9th,Labour,Muslim,MGB
Manju Yadav,20-29,Female,Urban,Upto 9th,Labour,Muslim,MGB
Amit Choudhary,50-59,Male,Rural,12th Pass,Housewife,Yadav,Others
Vikash Choudhary,60-69,Male,Rural,10th Pass,Farmer,OBC,NDA
Manju Yadav,30-39,Female,Rural,Not Gone to School,Pvt. Service,EBC,MGB
Amit Paswan,30-39,Male,Rural,Upto 9th,Pvt. Service,EBC,Others
Fatima Paswan,20-29,Female,Rural,Not Gone to School,Housewife,EBC,NDA
Mohammad Ali,60-69,Male,Rural,Not Gone to School,Farmer,EBC,Others
Neha Ansari,50-59,Female,Rural,10th Pass,Farmer,General,NDA
Deepak Sharma,30-39,Male,Rural,Graduate,Unemployed,EBC,NDA
Rajeev Mishra,50-59,Male,Rural,Graduate,Housewife,EBC,NDA
Manju Choudhary,40-49,Female,Rural,10th Pass,Others,Yadav,NDA
Kavita Manjhi,20-29,Female,Urban,10th Pass,Student,Muslim,MGB
Kavita Ali,30-39,Female,Rural,Upto 9th,Farmer,Yadav,MGB
Priyanka Paswan,20-29,Female,Rural,12th Pass,Pvt. Service,OBC,NDA
Rekha Khatoon,60-69,Female,Rural,Upto 9th,Student,Muslim,Others
Pooja Paswan,50-59,Female,Urban,Upto 9th,Labour,Muslim,MGB
Manju Sharma,40-49,Female,Rural,Not Gone to School,Farmer,ST,NDA
Abdul Yadav,60-69,Male,Rural,Upto 9th,Others,Yadav,MGB
Pooja Khatoon,40-49,Female,Rural,12th Pass,Unemployed,Yadav,MGB
Anita Ali,30-39,Female,Rural,10th Pass,Labour,General,NDA
Abdul Paswan,30-39,Male,Rural,12th Pass,Housewife,Muslim,MGB
Mohammad Manjhi,50-59,Male,Rural,12th Pass,Housewife,OBC,NDA
Neha Paswan,40-49,Female,Rural,Professional Education,Others,Muslim,MGB
Priyanka Ali,40-49,Female,Rural,Not Gone to School,Student,Muslim,MGB
Abdul Manjhi,50-59,Male,Rural,Graduate,Others,Muslim,MGB
Vikash Khatoon,30-39,Male,Rural,10th Pass,Housewife,Muslim,Others
Pooja Mishra,20-29,Female,Rural,Not Gone to School,Pvt. Service,EBC,NDA
Mukesh Kumar,40-49,Male,Rural,Graduate,Pvt. Service,SC,Others
Sanjay Choudhary,50-59,Male,Rural,12th Pass,Labour,General,MGB
Vikash Kumar,30-39,Male,Rural,10th Pass,Housewife,General,NDA
Sanjay Manjhi,30-39,Male,Rural,12th Pass,Student,OBC,NDA
Vikash Mishra,60-69,Male,Urban,Not Gone to School,Unemployed,EBC,MGB
Aisha Manjhi,50-59,Female,Urban,Graduate,Housewife,Yadav,MGB
Rekha Singh,30-39,Female,Rural,Upto 9th,Others,Yadav,MGB
Kavita Paswan,60-69,Female,Urban,Not Gone to School,Labour,EBC,NDA
Kavita Singh,40-49,Female,Rural,Post-Graduate,Housewife,EBC,NDA
Deepak Kumar,50-59,Male,Rural,Upto 9th,Others,OBC,NDA
Rajeev Khatoon,30-39,Male,Urban,10th Pass,Pvt. Service,EBC,NDA
Amit Sharma,60-69,Male,Rural,Upto 9th,Housewife,SC,MGB
Mukesh Sharma,20-29,Male,Rural,12th Pass,Others,General,NDA
Manju Manjhi,30-39,Female,Rural,Upto 9th,Pvt. Service,OBC,NDA
Mukesh Sharma,40-49,Male,Rural,Not Gone to School,Labour,EBC,JSP
Ranjeet Choudhary,60-69,Male,Rural,12th Pass,Pvt. Service,General,NDA
Rekha Singh,30-39,Female,Rural,Graduate,Farmer,Muslim,MGB
Manju Paswan,30-39,Female,Rural,Graduate,Unemployed,EBC,NDA
Amit Khatoon,30-39,Male,Rural,Graduate,Farmer,SC,NDA
Amit Singh,30-39,Male,Rural,Graduate,Farmer,SC,MGB
Pooja Mishra,30-39,Female,Rural,Not Gone to School,Labour,Yadav,MGB
Mohammad Paswan,30-39,Male,Rural,10th Pass,Housewife,General,NDA
Deepak Singh,30-39,Male,Rural,Not Gone to School,Student,Yadav,MGB
Pooja Mishra,50-59,Female,Rural,Not Gone to School,Housewife,Yadav,MGB
Ranjeet Mishra,60-69,Male,Rural,Upto 9th,Housewife,SC,Others
Vikash Mishra,20-29,Male,Rural,Graduate,Student,Yadav,Others
Sunita Mishra,40-49,Female,Rural,10th Pass,Housewife,SC,NDA
Ranjeet Sharma,30-39,Male,Rural,Graduate,Student,SC,Others
Vikash Yadav,20-29,Male,Rural,Upto 9th,Farmer,EBC,MGB
Ranjeet Sharma,20-29,Male,Rural,10th Pass,Others,SC,Others
Fatima Mishra,30-39,Female,Rural,Graduate,Self Occupation & Small Shop,General,NDA
Rahul Sharma,40-49,Male,Rural,Upto 9th,Housewife,EBC,NDA
Rekha Ali,30-39,Female,Rural,Upto 9th,Farmer,EBC,MGB
Abdul Mishra,60-69,Male,Rural,Upto 9th,Housewife,EBC,NDA
Anita Singh,20-29,Female,Rural,Not Gone to School,Others,OBC,NDA
Neha Choudhary,40-49,Female,Rural,Graduate,Housewife,EBC,Others
Pooja Mishra,20-29,Female,Rural,10th Pass,Unemployed,OBC,NDA
Kavita Kumar,30-39,Female,Urban,12th Pass,Housewife,EBC,NDA
Mohammad Khatoon,30-39,Male,Rural,Graduate,Housewife,OBC,NDA
Rekha Paswan,20-29,Female,Rural,Graduate,Housewife,Muslim,MGB
Pooja Kumar,50-59,Female,Rural,10th Pass,Farmer,SC,MGB
Rajeev Ali,30-39,Male,Rural,Graduate,Pvt. Service,EBC,NDA
Deepak Paswan,40-49,Male,Urban,10th Pass,Govt. Service,SC,NDA
Fatima Ansari,50-59,Female,Rural,Upto 9th,Pvt. Service,General,NDA
Rekha Choudhary,40-49,Female,Urban,12th Pass,Farmer,Yadav,MGB
Priyanka Yadav,70 & Above,Female,Rural,Upto 9th,Labour,General,NDA
Anita Singh,20-29,Female,Rural,Graduate,Farmer,SC,MGB
Mukesh Sharma,30-39,Male,Rural,10th Pass,Farmer,General,MGB
Anita Paswan,40-49,Female,Rural,Not Gone to School,Others,EBC,NDA
Ranjeet Khatoon,30-39,Male,Rural,10th Pass,Housewife,OBC,NDA
Kavita Singh,30-39,Female,Rural,Not Gone to School,Labour,Muslim,MGB
Sunita Sharma,20-29,Female,Rural,10th Pass,Labour,Muslim,MGB
Fatima Singh,60-69,Female,Urban,Upto 9th,Housewife,SC,MGB
Ranjeet Kumar,30-39,Male,Rural,Not Gone to School,Self Occupation & Small Shop,General,NDA
Aisha Paswan,40-49,Female,Rural,Professional Education,Others,EBC,NDA
Rekha Ansari,60-69,Female,Rural,10th Pass,Housewife,EBC,MGB
Pooja Paswan,30-39,Female,Rural,Graduate,Others,Yadav,MGB
Abdul Paswan,30-39,Male,Rural,Upto 9th,Student,Muslim,Others
Mukesh Mishra,30-39,Male,Rural,Upto 9th,Others,SC,NDA
Deepak Singh,30-39,Male,Rural,Not Gone to School,Others,Muslim,MGB
Abdul Choudhary,50-59,Male,Rural,12th Pass,Housewife,EBC,NDA
Rekha Choudhary,20-29,Female,Rural,10th Pass,Housewife,SC,MGB
Kavita Kumar,60-69,Female,Rural,Not Gone to School,Others,SC,NDA
Ranjeet Ansari,40-49,Male,Rural,12th Pass,Housewife,General,NDA
Sanjay Choudhary,40-49,Male,Urban,10th Pass,Pvt. Service,OBC,Others
Ranjeet Khatoon,50-59,Male,Rural,12th Pass,Labour,General,NDA
Kavita Choudhary,20-29,Female,Rural,Graduate,Others,General,NDA
Aisha Yadav,70 & Above,Female,Rural,Not Gone to School,Housewife,SC,NDA
Mohammad Sharma,20-29,Male,Rural,12th Pass,Skilled Professional,OBC,NDA
Anita Kumar,40-49,Female,Rural,Graduate,Labour,General,NDA
Manju Paswan,40-49,Female,Rural,Upto 9th,Housewife,EBC,Others
Mukesh Mishra,20-29,Male,Rural,Upto 9th,Self Occupation & Small Shop,EBC,NDA
Rekha Ali,40-49,Female,Urban,Not Gone to School,Farmer,EBC,NDA
Vikash Kumar,70 & Above,Male,Rural,10th Pass,Self Occupation & Small Shop,EBC,Others
Manju Paswan,70 & Above,Female,Rural,Not Gone to School,Farmer,General,MGB
Abdul Ali,40-49,Male,Rural,Post-Graduate,Self Occupation & Small Shop,Yadav,MGB
Aisha Manjhi,70 & Above,Female,Rural,Post-Graduate,Pvt. Service,General,MGB
Mukesh Sharma,60-69,Male,Rural,12th Pass,Farmer,OBC,JSP
Mohammad Ali,40-49,Male,Rural,Upto 9th,Housewife,Yadav,MGB
Rahul Singh,40-49,Male,Rural,Graduate,Housewife,Yadav,MGB
Amit Manjhi,40-49,Male,Rural,12th Pass,Labour,OBC,MGB
Abdul Yadav,20-29,Male,Rural,Not Gone to School,Farmer,General,NDA
Pooja Choudhary,20-29,Female,Rural,Upto 9th,Housewife,EBC,NDA
Priyanka Khatoon,20-29,Female,Rural,Upto 9th,Labour,Muslim,MGB
Vikash Yadav,20-29,Male,Rural,Not Gone to School,Skilled Professional,OBC,Others
Aisha Choudhary,30-39,Female,Rural,Not Gone to School,Pvt. Service,SC,MGB
Neha Manjhi,30-39,Female,Urban,10th Pass,Pvt. Service,OBC,NDA
Rahul Paswan,50-59,Male,Rural,Upto 9th,Labour,General,MGB
Rekha Ali,60-69,Female,Rural,Not Gone to School,Others,OBC,NDA
Priyanka Singh,30-39,Female,Rural,12th Pass,Labour,EBC,NDA
Rekha Kumar,50-59,Female,Rural,Not Gone to School,Others,General,MGB
Deepak Ansari,20-29,Male,Rural,10th Pass,Farmer,Yadav,MGB
Rajeev Kumar,40-49,Male,Rural,Not Gone to School,Farmer,Muslim,MGB
Amit Singh,30-39,Male,Rural,Upto 9th,Pvt. Service,OBC,NDA
Neha Khatoon,40-49,Female,Rural,Graduate,Unemployed,Muslim,MGB
Vikash Singh,30-39,Male,Rural,Upto 9th,Pvt. Service,EBC,NDA
Rahul Singh,50-59,Male,Rural,Upto 9th,Labour,Yadav,MGB
Fatima Khatoon,30-39,Female,Rural,Graduate,Skilled Professional,EBC,MGB
Mukesh Sharma,60-69,Male,Rural,10th Pass,Labour,EBC,NDA
Sunita Paswan,40-49,Female,Rural,Not Gone to School,Others,EBC,MGB
Deepak Ansari,20-29,Male,Rural,12th Pass,Others,Muslim,MGB
Rahul Khatoon,70 & Above,Male,Urban,Not Gone to School,Unemployed,SC,NDA
Amit Ansari,40-49,Male,Rural,10th Pass,Labour,Yadav,MGB
Mohammad Manjhi,50-59,Male,Urban,Graduate,Pvt. Service,General,NDA
Fatima Yadav,30-39,Female,Urban,Upto 9th,Housewife,EBC,NDA
Amit Ali,50-59,Male,Rural,Upto 9th,Others,Muslim,MGB
Rekha Sharma,20-29,Female,Rural,12th Pass,Housewife,EBC,MGB
Rajeev Yadav,20-29,Male,Rural,12th Pass,Housewife,Yadav,Others
Anita Ali,50-59,Female,Rural,12th Pass,Labour,Muslim,Others
Amit Mishra,30-39,Male,Urban,12th Pass,Farmer,General,NDA
Deepak Sharma,50-59,Male,Rural,Not Gone to School,Farmer,General,NDA
Mukesh Manjhi,50-59,Male,Rural,10th Pass,Self Occupation & Small Shop,SC,NDA
Priyanka Khatoon,30-39,Female,Rural,10th Pass,Pvt. Service,SC,MGB
Aisha Sharma,70 & Above,Female,Rural,12th Pass,Labour,Muslim,MGB
Manju Ali,50-59,Female,Rural,Graduate,Farmer,EBC,MGB
Amit Singh,50-59,Male,Urban,Professional Education,Others,Muslim,MGB
Sanjay Kumar,40-49,Male,Rural,Professional Education,Others,EBC,NDA
Deepak Sharma,30-39,Male,Rural,10th Pass,Pvt. Service,Muslim,Others
Aisha Khatoon,18-19,Female,Urban,Upto 9th,Others,SC,NDA
Mohammad Kumar,20-29,Male,Rural,10th Pass,Skilled Professional,EBC,NDA
Manju Singh,20-29,Female,Rural,Not Gone to School,Housewife,ST,NDA
Pooja Kumar,40-49,Female,Rural,10th Pass,Skilled Professional,Yadav,MGB
Priyanka Khatoon,40-49,Female,Rural,12th Pass,Self Occupation & Small Shop,OBC,NDA
Vikash Choudhary,40-49,Male,Rural,Not Gone to School,Labour,SC,NDA
Neha Manjhi,30-39,Female,Rural,Upto 9th,Housewife,SC,NDA
Fatima Paswan,40-49,Female,Rural,Not Gone to School,Farmer,SC,Others
Amit Singh,50-59,Male,Rural,Post-Graduate,Others,Muslim,MGB
Mukesh Singh,20-29,Male,Urban,Graduate,Farmer,EBC,MGB
Ranjeet Ali,30-39,Male,Rural,10th Pass,Labour,EBC,MGB
Ranjeet Singh,30-39,Male,Urban,Upto 9th,Labour,OBC,NDA
Priyanka Singh,20-29,Female,Rural,12th Pass,Farmer,Muslim,MGB
Ranjeet Ali,30-39,Male,Rural,Graduate,Housewife,EBC,MGB
Anita Ali,60-69,Female,Rural,Upto 9th,Pvt. Service,Yadav,MGB
Neha Paswan,40-49,Female,Rural,Upto 9th,Self Occupation & Small Shop,Yadav,MGB
Abdul Choudhary,40-49,Male,Rural,Not Gone to School,Others,OBC,Others
Manju Ansari,40-49,Female,Rural,12th Pass,Pvt. Service,General,Others
Aisha Kumar,50-59,Female,Rural,Graduate,Housewife,Muslim,MGB
Sanjay Choudhary,50-59,Male,Rural,Not Gone to School,Farmer,Muslim,NDA
Fatima Choudhary,60-69,Female,Rural,Not Gone to School,Student,General,NDA
Rahul Singh,20-29,Male,Rural,12th Pass,Unemployed,EBC,NDA
Abdul Ali,60-69,Male,Urban,Upto 9th,Housewife,EBC,NDA
Amit Paswan,30-39,Male,Rural,Upto 9th,Labour,EBC,NDA
Rajeev Singh,30-39,Male,Rural,Graduate,Others,Yadav,MGB
Deepak Khatoon,20-29,Male,Rural,Post-Graduate,Farmer,General,MGB
Neha Singh,40-49,Female,Urban,10th Pass,Skilled Professional,SC,NDA
Pooja Paswan,30-39,Female,Rural,12th Pass,Housewife,EBC,MGB
Mohammad Yadav,50-59,Male,Rural,Not Gone to School,Housewife,EBC,MGB
Mohammad Choudhary,60-69,Male,Rural,Not Gone to School,Skilled Professional,ST,NDA
Sanjay Kumar,40-49,Male,Rural,Upto 9th,Housewife,Yadav,MGB
Deepak Ansari,70 & Above,Male,Rural,Professional Education,Farmer,Yadav,MGB
Aisha Manjhi,50-59,Female,Rural,12th Pass,Unemployed,General,NDA
Rahul Ansari,60-69,Male,Rural,Not Gone to School,Pvt. Service,Muslim,MGB
Sanjay Choudhary,40-49,Male,Rural,Upto 9th,Housewife,General,NDA
Mohammad Kumar,30-39,Male,Rural,Graduate,Farmer,Muslim,MGB
Manju Khatoon,60-69,Female,Rural,12th Pass,Housewife,Yadav,MGB
Anita Singh,40-49,Female,Rural,Upto 9th,Housewife,EBC,MGB
Fatima Sharma,20-29,Female,Rural,Not Gone to School,Labour,Yadav,MGB
Kavita Mishra,40-49,Female,Rural,Professional Education,Govt. Service,Muslim,MGB
Deepak Singh,30-39,Male,Rural,Graduate,Housewife,Muslim,MGB
Deepak Singh,50-59,Male,Rural,Graduate,Housewife,Yadav,MGB
Mohammad Paswan,40-49,Male,Rural,Not Gone to School,Labour,General,NDA
Rekha Manjhi,30-39,Female,Rural,Not Gone to School,Skilled Professional,Yadav,MGB
Mukesh Kumar,30-39,Male,Rural,10th Pass,Farmer,EBC,NDA
Manju Khatoon,20-29,Female,Rural,Not Gone to School,Skilled Professional,OBC,MGB
Aisha Paswan,30-39,Female,Rural,Graduate,Skilled Professional,EBC,MGB
Manju Singh,50-59,Female,Urban,12th Pass,Housewife,Muslim,MGB
Ranjeet Khatoon,30-39,Male,Rural,10th Pass,Farmer,Yadav,MGB
Deepak Mishra,20-29,Male,Rural,Graduate,Labour,Muslim,NDA
Mohammad Ali,40-49,Male,Rural,Graduate,Housewife,Muslim,MGB
Amit Paswan,50-59,Male,Rural,12th Pass,Pvt. Service,OBC,MGB
Priyanka Choudhary,30-39,Female,Rural,Upto 9th,Labour,OBC,NDA
Deepak Singh,20-29,Male,Rural,10th Pass,Student,EBC,Others
Neha Khatoon,30-39,Female,Rural,Post-Graduate,Housewife,Yadav,MGB
Aisha Kumar,30-39,Female,Rural,Post-Graduate,Pvt. Service,OBC,MGB
Amit Ansari,30-39,Male,Rural,Graduate,Self Occupation & Small Shop,General,NDA
Deepak Kumar,40-49,Male,Rural,12th Pass,Self Occupation & Small Shop,OBC,NDA
Mukesh Ansari,20-29,Male,Rural,Upto 9th,Labour,SC,Others
Rekha Khatoon,70 & Above,Female,Rural,10th Pass,Others,EBC,JSP
Kavita Ali,60-69,Female,Rural,Upto 9th,Housewife,Muslim,MGB
Ranjeet Kumar,30-39,Male,Rural,12th Pass,Pvt. Service,Muslim,MGB
Vikash Khatoon,20-29,Male,Rural,Not Gone to School,Labour,Yadav,MGB
Rekha Kumar,60-69,Female,Rural,Upto 9th,Farmer,SC,NDA
Rekha Yadav,50-59,Female,Urban,10th Pass,Housewife,EBC,MGB
Abdul Ali,20-29,Male,Rural,Upto 9th,Govt. Service,Muslim,JSP
